Shopify Collections (actual store collections)
Storefront source: https://shopcarbon.com/collections.json
Generated: 2026-03-10
Total collections: 82

1. ACCESSORIES & SHOES (MEN) | handle=men-accessories-shoes | id=433460707580 | products=29
67. SWEATSHIRTS & HOODIES (Women) | handle=sweatshirts-hoodies-women | id=433341169916 | products=23
68. SWIMWEAR (Men) | handle=swimwear-1 | id=433108386044 | products=12
69. SWIMWEAR (Women) | handle=swimsuit-women | id=433350869244 | products=5
70. T-SHIRTS (Men) | handle=t-shirts | id=433107173628 | products=49
71. T-SHIRTS (Women) | handle=t-shirts-women | id=433340645628 | products=16
72. Tank Tops (Men) | handle=tank-tops-men | id=433420730620 | products=6
73. TANK TOPS (Women) | handle=tank-tops | id=433107206396 | products=51
74. TIES (men) | handle=ties | id=433107730684 | products=0
75. TOPS (Men) | handle=tops-men | id=433401823484 | products=111
76. TOPS (Women) | handle=tops | id=433106747644 | products=98
77. TRACKSUITS (Men) | handle=tracksuits-1 | id=433107009788 | products=2
78. TRACKSUITS (Women) | handle=tracksuits | id=433106911484 | products=4
79. WINTER SETS (women) | handle=winter-sets-women | id=437182562556 | products=4
80. WINTER SETS MEN | handle=winter-sets | id=437171716348 | products=4
81. Women | handle=women | id=432960241916 | products=317
82. WOMEN JEANS | handle=clothing-jeans | id=433459921148 | products=17
